Electorate,Year,Party,Prev.Percent,Total.Vote,T.Chng,Prev.Weak,Prev.Strong
Auckland Central,2017,ACT,0.0117,0.0069,-0.0038,0.0117,0
Auckland Central,2017,Conservative Party,0.0173,0.0397,0.0132,0.0173,0
Auckland Central,2017,Green Party,0.2217,0.107,-0.0036,0.207,0.0147
Auckland Central,2017,Labour Party,0.2167,0.2513,-0.0235,0.2167,0
Auckland Central,2017,Mana,0.0196,0.0142,0.0034,0.0196,0
Auckland Central,2017,Maori Party,0.0056,0.0132,-0.0011,0.0056,0
Auckland Central,2017,National Party,0.4493,0.4704,-0.0027,0.32,0.1293
Auckland Central,2017,New Zealand First Party,0.0518,0.0866,0.0207,0.0518,0
Auckland Central,2017,United Future,0.0019,0.0022,-0.0038,0.0019,0
Bay of Plenty,2017,ACT,0.0025,0.0069,-0.0038,0.0025,0
Bay of Plenty,2017,Conservative Party,0.0566,0.0397,0.0132,0.0566,0
Bay of Plenty,2017,Green Party,0.0723,0.107,-0.0036,0.0723,0
Bay of Plenty,2017,Labour Party,0.1307,0.2513,-0.0235,0.1307,0
Bay of Plenty,2017,Mana,0.0051,0.0142,0.0034,0.0051,0
Bay of Plenty,2017,Maori Party,0.0057,0.0132,-0.0011,0.0057,0
Bay of Plenty,2017,National Party,0.5766,0.4704,-0.0027,0.32,0.2566
Bay of Plenty,2017,New Zealand First Party,0.1394,0.0866,0.0207,0.1394,0
Bay of Plenty,2017,United Future,0.0021,0.0022,-0.0038,0.0021,0
Botany,2017,ACT,0.0241,0.0069,-0.0038,0.0241,0
Botany,2017,Conservative Party,0.0453,0.0397,0.0132,0.0453,0
Botany,2017,Green Party,0.0435,0.107,-0.0036,0.0435,0
Botany,2017,Labour Party,0.2227,0.2513,-0.0235,0.2227,0
Botany,2017,Mana,0.0061,0.0142,0.0034,0.0061,0
Botany,2017,Maori Party,0.0021,0.0132,-0.0011,0.0021,0
Botany,2017,National Party,0.5965,0.4704,-0.0027,0.32,0.2765
Botany,2017,New Zealand First Party,0.0544,0.0866,0.0207,0.0544,0
Botany,2017,United Future,0.0015,0.0022,-0.0038,0.0015,0
Christchurch Central,2017,ACT,0.0049,0.0069,-0.0038,0.0049,0
Christchurch Central,2017,Conservative Party,0.0311,0.0397,0.0132,0.0311,0
Christchurch Central,2017,Green Party,0.1582,0.107,-0.0036,0.1582,0
Christchurch Central,2017,Labour Party,0.2625,0.2513,-0.0235,0.2625,0
Christchurch Central,2017,Mana,0.0103,0.0142,0.0034,0.0103,0
Christchurch Central,2017,Maori Party,0.0046,0.0132,-0.0011,0.0046,0
Christchurch Central,2017,National Party,0.4466,0.4704,-0.0027,0.32,0.1266
Christchurch Central,2017,New Zealand First Party,0.0719,0.0866,0.0207,0.0719,0
Christchurch Central,2017,United Future,0.0023,0.0022,-0.0038,0.0023,0
Christchurch East,2017,ACT,0.0033,0.0069,-0.0038,0.0033,0
Christchurch East,2017,Conservative Party,0.0326,0.0397,0.0132,0.0326,0
Christchurch East,2017,Green Party,0.1266,0.107,-0.0036,0.1266,0
Christchurch East,2017,Labour Party,0.3216,0.2513,-0.0235,0.32,0.0016
Christchurch East,2017,Mana,0.0088,0.0142,0.0034,0.0088,0
Christchurch East,2017,Maori Party,0.004,0.0132,-0.0011,0.004,0
Christchurch East,2017,National Party,0.3979,0.4704,-0.0027,0.32,0.0779
Christchurch East,2017,New Zealand First Party,0.0945,0.0866,0.0207,0.0945,0
Christchurch East,2017,United Future,0.0023,0.0022,-0.0038,0.0023,0
Clutha-Southland,2017,ACT,0.0036,0.0069,-0.0038,0.0036,0
Clutha-Southland,2017,Conservative Party,0.0504,0.0397,0.0132,0.0504,0
Clutha-Southland,2017,Green Party,0.0773,0.107,-0.0036,0.0773,0
Clutha-Southland,2017,Labour Party,0.1471,0.2513,-0.0235,0.1471,0
Clutha-Southland,2017,Mana,0.0046,0.0142,0.0034,0.0046,0
Clutha-Southland,2017,Maori Party,0.0033,0.0132,-0.0011,0.0033,0
Clutha-Southland,2017,National Party,0.6338,0.4704,-0.0027,0.32,0.3138
Clutha-Southland,2017,New Zealand First Party,0.0624,0.0866,0.0207,0.0624,0
Clutha-Southland,2017,United Future,0.002,0.0022,-0.0038,0.002,0
Coromandel,2017,ACT,0.0037,0.0069,-0.0038,0.0037,0
Coromandel,2017,Conservative Party,0.0528,0.0397,0.0132,0.0528,0
Coromandel,2017,Green Party,0.0982,0.107,-0.0036,0.0982,0
Coromandel,2017,Labour Party,0.1571,0.2513,-0.0235,0.1571,0
Coromandel,2017,Mana,0.0068,0.0142,0.0034,0.0068,0
Coromandel,2017,Maori Party,0.0049,0.0132,-0.0011,0.0049,0
Coromandel,2017,National Party,0.5417,0.4704,-0.0027,0.32,0.2217
Coromandel,2017,New Zealand First Party,0.125,0.0866,0.0207,0.125,0
Coromandel,2017,United Future,0.0017,0.0022,-0.0038,0.0017,0
Dunedin North,2017,ACT,0.0032,0.0069,-0.0038,0.0032,0
Dunedin North,2017,Conservative Party,0.0273,0.0397,0.0132,0.0273,0
Dunedin North,2017,Green Party,0.2294,0.107,-0.0036,0.207,0.0224
Dunedin North,2017,Labour Party,0.3182,0.2513,-0.0235,0.3182,0
Dunedin North,2017,Mana,0.0172,0.0142,0.0034,0.0172,0
Dunedin North,2017,Maori Party,0.0035,0.0132,-0.0011,0.0035,0
Dunedin North,2017,National Party,0.3226,0.4704,-0.0027,0.32,0.0026
Dunedin North,2017,New Zealand First Party,0.0675,0.0866,0.0207,0.0675,0
Dunedin North,2017,United Future,0.0025,0.0022,-0.0038,0.0025,0
Dunedin South,2017,ACT,0.0033,0.0069,-0.0038,0.0033,0
Dunedin South,2017,Conservative Party,0.0293,0.0397,0.0132,0.0293,0
Dunedin South,2017,Green Party,0.1229,0.107,-0.0036,0.1229,0
Dunedin South,2017,Labour Party,0.3327,0.2513,-0.0235,0.32,0.0127
Dunedin South,2017,Mana,0.0082,0.0142,0.0034,0.0082,0
Dunedin South,2017,Maori Party,0.0025,0.0132,-0.0011,0.0025,0
Dunedin South,2017,National Party,0.3987,0.4704,-0.0027,0.32,0.0787
Dunedin South,2017,New Zealand First Party,0.0911,0.0866,0.0207,0.0911,0
Dunedin South,2017,United Future,0.0017,0.0022,-0.0038,0.0017,0
East Coast,2017,ACT,0.0023,0.0069,-0.0038,0.0023,0
East Coast,2017,Conservative Party,0.0408,0.0397,0.0132,0.0408,0
East Coast,2017,Green Party,0.0921,0.107,-0.0036,0.0921,0
East Coast,2017,Labour Party,0.2274,0.2513,-0.0235,0.2274,0
East Coast,2017,Mana,0.0117,0.0142,0.0034,0.0117,0
East Coast,2017,Maori Party,0.0095,0.0132,-0.0011,0.0095,0
East Coast,2017,National Party,0.4862,0.4704,-0.0027,0.32,0.1662
East Coast,2017,New Zealand First Party,0.1184,0.0866,0.0207,0.1184,0
East Coast,2017,United Future,0.0022,0.0022,-0.0038,0.0022,0
East Coast Bays,2017,ACT,0.0176,0.0069,-0.0038,0.0176,0
East Coast Bays,2017,Conservative Party,0.067,0.0397,0.0132,0.067,0
East Coast Bays,2017,Green Party,0.0823,0.107,-0.0036,0.0823,0
East Coast Bays,2017,Labour Party,0.1215,0.2513,-0.0235,0.1215,0
East Coast Bays,2017,Mana,0.0067,0.0142,0.0034,0.0067,0
East Coast Bays,2017,Maori Party,0.0038,0.0132,-0.0011,0.0038,0
East Coast Bays,2017,National Party,0.6338,0.4704,-0.0027,0.32,0.3138
East Coast Bays,2017,New Zealand First Party,0.0596,0.0866,0.0207,0.0596,0
East Coast Bays,2017,United Future,0.0021,0.0022,-0.0038,0.0021,0
Epsom,2017,ACT,0.0272,0.0069,-0.0038,0.0272,0
Epsom,2017,Conservative Party,0.0248,0.0397,0.0132,0.0248,0
Epsom,2017,Green Party,0.1252,0.107,-0.0036,0.1252,0
Epsom,2017,Labour Party,0.1342,0.2513,-0.0235,0.1342,0
Epsom,2017,Mana,0.0083,0.0142,0.0034,0.0083,0
Epsom,2017,Maori Party,0.0046,0.0132,-0.0011,0.0046,0
Epsom,2017,National Party,0.636,0.4704,-0.0027,0.32,0.316
Epsom,2017,New Zealand First Party,0.0348,0.0866,0.0207,0.0348,0
Epsom,2017,United Future,0.0016,0.0022,-0.0038,0.0016,0
Hamilton East,2017,ACT,0.0072,0.0069,-0.0038,0.0072,0
Hamilton East,2017,Conservative Party,0.0481,0.0397,0.0132,0.0481,0
Hamilton East,2017,Green Party,0.1102,0.107,-0.0036,0.1102,0
Hamilton East,2017,Labour Party,0.2377,0.2513,-0.0235,0.2377,0
Hamilton East,2017,Mana,0.01,0.0142,0.0034,0.01,0
Hamilton East,2017,Maori Party,0.0064,0.0132,-0.0011,0.0064,0
Hamilton East,2017,National Party,0.5003,0.4704,-0.0027,0.32,0.1803
Hamilton East,2017,New Zealand First Party,0.0714,0.0866,0.0207,0.0714,0
Hamilton East,2017,United Future,0.003,0.0022,-0.0038,0.003,0
Hamilton West,2017,ACT,0.0048,0.0069,-0.0038,0.0048,0
Hamilton West,2017,Conservative Party,0.0467,0.0397,0.0132,0.0467,0
Hamilton West,2017,Green Party,0.0821,0.107,-0.0036,0.0821,0
Hamilton West,2017,Labour Party,0.2569,0.2513,-0.0235,0.2569,0
Hamilton West,2017,Mana,0.0072,0.0142,0.0034,0.0072,0
Hamilton West,2017,Maori Party,0.0056,0.0132,-0.0011,0.0056,0
Hamilton West,2017,National Party,0.4773,0.4704,-0.0027,0.32,0.1573
Hamilton West,2017,New Zealand First Party,0.1082,0.0866,0.0207,0.1082,0
Hamilton West,2017,United Future,0.0026,0.0022,-0.0038,0.0026,0
Helensville,2017,ACT,0.0074,0.0069,-0.0038,0.0074,0
Helensville,2017,Conservative Party,0.0478,0.0397,0.0132,0.0478,0
Helensville,2017,Green Party,0.1358,0.107,-0.0036,0.1358,0
Helensville,2017,Labour Party,0.1253,0.2513,-0.0235,0.1253,0
Helensville,2017,Mana,0.0096,0.0142,0.0034,0.0096,0
Helensville,2017,Maori Party,0.0054,0.0132,-0.0011,0.0054,0
Helensville,2017,National Party,0.5851,0.4704,-0.0027,0.32,0.2651
Helensville,2017,New Zealand First Party,0.0738,0.0866,0.0207,0.0738,0
Helensville,2017,United Future,0.0026,0.0022,-0.0038,0.0026,0
Hunua,2017,ACT,0.0087,0.0069,-0.0038,0.0087,0
Hunua,2017,Conservative Party,0.0504,0.0397,0.0132,0.0504,0
Hunua,2017,Green Party,0.0579,0.107,-0.0036,0.0579,0
Hunua,2017,Labour Party,0.131,0.2513,-0.0235,0.131,0
Hunua,2017,Mana,0.0046,0.0142,0.0034,0.0046,0
Hunua,2017,Maori Party,0.004,0.0132,-0.0011,0.004,0
Hunua,2017,National Party,0.6391,0.4704,-0.0027,0.32,0.3191
Hunua,2017,New Zealand First Party,0.0958,0.0866,0.0207,0.0958,0
Hunua,2017,United Future,0.0023,0.0022,-0.0038,0.0023,0
Hutt South,2017,ACT,0.0066,0.0069,-0.0038,0.0066,0
Hutt South,2017,Conservative Party,0.0357,0.0397,0.0132,0.0357,0
Hutt South,2017,Green Party,0.1275,0.107,-0.0036,0.1275,0
Hutt South,2017,Labour Party,0.2798,0.2513,-0.0235,0.2798,0
Hutt South,2017,Mana,0.0072,0.0142,0.0034,0.0072,0
Hutt South,2017,Maori Party,0.0053,0.0132,-0.0011,0.0053,0
Hutt South,2017,National Party,0.453,0.4704,-0.0027,0.32,0.133
Hutt South,2017,New Zealand First Party,0.0748,0.0866,0.0207,0.0748,0
Hutt South,2017,United Future,0.0035,0.0022,-0.0038,0.0035,0
Ilam,2017,ACT,0.0099,0.0069,-0.0038,0.0099,0
Ilam,2017,Conservative Party,0.0368,0.0397,0.0132,0.0368,0
Ilam,2017,Green Party,0.1296,0.107,-0.0036,0.1296,0
Ilam,2017,Labour Party,0.1767,0.2513,-0.0235,0.1767,0
Ilam,2017,Mana,0.0066,0.0142,0.0034,0.0066,0
Ilam,2017,Maori Party,0.0048,0.0132,-0.0011,0.0048,0
Ilam,2017,National Party,0.5772,0.4704,-0.0027,0.32,0.2572
Ilam,2017,New Zealand First Party,0.0512,0.0866,0.0207,0.0512,0
Ilam,2017,United Future,0.0026,0.0022,-0.0038,0.0026,0
Invercargill,2017,ACT,0.0033,0.0069,-0.0038,0.0033,0
Invercargill,2017,Conservative Party,0.0368,0.0397,0.0132,0.0368,0
Invercargill,2017,Green Party,0.0757,0.107,-0.0036,0.0757,0
Invercargill,2017,Labour Party,0.2507,0.2513,-0.0235,0.2507,0
Invercargill,2017,Mana,0.0062,0.0142,0.0034,0.0062,0
Invercargill,2017,Maori Party,0.0032,0.0132,-0.0011,0.0032,0
Invercargill,2017,National Party,0.4948,0.4704,-0.0027,0.32,0.1748
Invercargill,2017,New Zealand First Party,0.1116,0.0866,0.0207,0.1116,0
Invercargill,2017,United Future,0.002,0.0022,-0.0038,0.002,0
Kaikoura,2017,ACT,0.0039,0.0069,-0.0038,0.0039,0
Kaikoura,2017,Conservative Party,0.0466,0.0397,0.0132,0.0466,0
Kaikoura,2017,Green Party,0.0918,0.107,-0.0036,0.0918,0
Kaikoura,2017,Labour Party,0.171,0.2513,-0.0235,0.171,0
Kaikoura,2017,Mana,0.0046,0.0142,0.0034,0.0046,0
Kaikoura,2017,Maori Party,0.0036,0.0132,-0.0011,0.0036,0
Kaikoura,2017,National Party,0.5664,0.4704,-0.0027,0.32,0.2464
Kaikoura,2017,New Zealand First Party,0.0985,0.0866,0.0207,0.0985,0
Kaikoura,2017,United Future,0.0026,0.0022,-0.0038,0.0026,0
Kelston,2017,ACT,0.01,0.0069,-0.0038,0.01,0
Kelston,2017,Conservative Party,0.0296,0.0397,0.0132,0.0296,0
Kelston,2017,Green Party,0.1074,0.107,-0.0036,0.1074,0
Kelston,2017,Labour Party,0.4213,0.0142,-0.0235,0.1142,0.3071
Kelston,2017,Mana,0.0141,0.2513,0.0034,0.0141,0
Kelston,2017,Maori Party,0.0031,0.0132,-0.0011,0.0031,0
Kelston,2017,National Party,0.3232,0.4704,-0.0027,0.32,0.0032
Kelston,2017,New Zealand First Party,0.0845,0.0866,0.0207,0.0845,0
Kelston,2017,United Future,0.0016,0.0022,-0.0038,0.0016,0
Mana,2017,ACT,0.0022,0.0069,-0.0038,0.0022,0
Mana,2017,Conservative Party,0.0267,0.0397,0.0132,0.0267,0
Mana,2017,Green Party,0.128,0.107,-0.0036,0.128,0
Mana,2017,Labour Party,0.3439,0.2513,-0.0235,0.32,0.0239
Mana,2017,Mana,0.0096,0.0142,0.0034,0.0096,0
Mana,2017,Maori Party,0.0062,0.0132,-0.0011,0.0062,0
Mana,2017,National Party,0.4053,0.4704,-0.0027,0.32,0.0853
Mana,2017,New Zealand First Party,0.068,0.0866,0.0207,0.068,0
Mana,2017,United Future,0.0032,0.0022,-0.0038,0.0032,0
Mangere,2017,ACT,0.0025,0.0069,-0.0038,0.0025,0
Mangere,2017,Conservative Party,0.0307,0.0397,0.0132,0.0307,0
Mangere,2017,Green Party,0.0397,0.107,-0.0036,0.0397,0
Mangere,2017,Labour Party,0.6756,0.2513,-0.0235,0.32,0.3556
Mangere,2017,Mana,0.0119,0.0142,0.0034,0.0119,0
Mangere,2017,Maori Party,0.0045,0.0132,-0.0011,0.0045,0
Mangere,2017,National Party,0.1566,0.4704,-0.0027,0.1566,0
Mangere,2017,New Zealand First Party,0.0735,0.0866,0.0207,0.0735,0
Mangere,2017,United Future,0.001,0.0022,-0.0038,0.001,0
Manukau East,2017,ACT,0.0067,0.0069,-0.0038,0.0067,0
Manukau East,2017,Conservative Party,0.0208,0.0397,0.0132,0.0208,0
Manukau East,2017,Green Party,0.0365,0.107,-0.0036,0.0365,0
Manukau East,2017,Labour Party,0.637,0.2513,-0.0235,0.32,0.317
Manukau East,2017,Mana,0.0104,0.0142,0.0034,0.0104,0
Manukau East,2017,Maori Party,0.0032,0.0132,-0.0011,0.0032,0
Manukau East,2017,National Party,0.2029,0.4704,-0.0027,0.2029,0
Manukau East,2017,New Zealand First Party,0.078,0.0866,0.0207,0.078,0
Manukau East,2017,United Future,0.0007,0.0022,-0.0038,7.00E-04,0
Manurewa,2017,ACT,0.0057,0.0069,-0.0038,0.0057,0
Manurewa,2017,Conservative Party,0.0282,0.0397,0.0132,0.0282,0
Manurewa,2017,Green Party,0.0397,0.107,-0.0036,0.0397,0
Manurewa,2017,Labour Party,0.5303,0.2513,-0.0235,0.32,0.2103
Manurewa,2017,Mana,0.0115,0.0142,0.0034,0.0115,0
Manurewa,2017,Maori Party,0.0069,0.0132,-0.0011,0.0069,0
Manurewa,2017,National Party,0.2769,0.4704,-0.0027,0.2769,0
Manurewa,2017,New Zealand First Party,0.0949,0.0866,0.0207,0.0949,0
Manurewa,2017,United Future,0.0009,0.0022,-0.0038,9.00E-04,0
Maungakiekie,2017,ACT,0.0148,0.0069,-0.0038,0.0148,0
Maungakiekie,2017,Conservative Party,0.0317,0.0397,0.0132,0.0317,0
Maungakiekie,2017,Green Party,0.0946,0.107,-0.0036,0.0946,0
Maungakiekie,2017,Labour Party,0.353,0.2513,-0.0235,0.32,0.033
Maungakiekie,2017,Mana,0.0109,0.0142,0.0034,0.0109,0
Maungakiekie,2017,Maori Party,0.0054,0.0132,-0.0011,0.0054,0
Maungakiekie,2017,National Party,0.4165,0.4704,-0.0027,0.32,0.0965
Maungakiekie,2017,New Zealand First Party,0.0661,0.0866,0.0207,0.0661,0
Maungakiekie,2017,United Future,0.0023,0.0022,-0.0038,0.0023,0
Mt Albert,2017,ACT,0.0097,0.0069,-0.0038,0.0097,0
Mt Albert,2017,Conservative Party,0.0196,0.0397,0.0132,0.0196,0
Mt Albert,2017,Green Party,0.2178,0.107,-0.0036,0.207,0.0108
Mt Albert,2017,Labour Party,0.2945,0.2513,-0.0235,0.2945,0
Mt Albert,2017,Mana,0.0164,0.0142,0.0034,0.0164,0
Mt Albert,2017,Maori Party,0.0048,0.0132,-0.0011,0.0048,0
Mt Albert,2017,National Party,0.3908,0.4704,-0.0027,0.32,0.0708
Mt Albert,2017,New Zealand First Party,0.0411,0.0866,0.0207,0.0411,0
Mt Albert,2017,United Future,0.0016,0.0022,-0.0038,0.0016,0
Mt Roskill,2017,ACT,0.018,0.0069,-0.0038,0.018,0
Mt Roskill,2017,Conservative Party,0.0366,0.0397,0.0132,0.0366,0
Mt Roskill,2017,Green Party,0.0967,0.107,-0.0036,0.0967,0
Mt Roskill,2017,Labour Party,0.3563,0.2513,-0.0235,0.32,0.0363
Mt Roskill,2017,Mana,0.009,0.0142,0.0034,0.009,0
Mt Roskill,2017,Maori Party,0.0039,0.0132,-0.0011,0.0039,0
Mt Roskill,2017,National Party,0.4208,0.4704,-0.0027,0.32,0.1008
Mt Roskill,2017,New Zealand First Party,0.0532,0.0866,0.0207,0.0532,0
Mt Roskill,2017,United Future,0.002,0.0022,-0.0038,0.002,0
Napier,2017,ACT,0.0028,0.0069,-0.0038,0.0028,0
Napier,2017,Conservative Party,0.0623,0.0397,0.0132,0.0623,0
Napier,2017,Green Party,0.0877,0.107,-0.0036,0.0877,0
Napier,2017,Labour Party,0.2596,0.2513,-0.0235,0.2596,0
Napier,2017,Mana,0.006,0.0142,0.0034,0.006,0
Napier,2017,Maori Party,0.0044,0.0132,-0.0011,0.0044,0
Napier,2017,National Party,0.4938,0.4704,-0.0027,0.32,0.1738
Napier,2017,New Zealand First Party,0.0743,0.0866,0.0207,0.0743,0
Napier,2017,United Future,0.0017,0.0022,-0.0038,0.0017,0
Nelson,2017,ACT,0.004,0.0069,-0.0038,0.004,0
Nelson,2017,Conservative Party,0.055,0.0397,0.0132,0.055,0
Nelson,2017,Green Party,0.1414,0.107,-0.0036,0.1414,0
Nelson,2017,Labour Party,0.2471,0.2513,-0.0235,0.2471,0
Nelson,2017,Mana,0.0083,0.0142,0.0034,0.0083,0
Nelson,2017,Maori Party,0.0033,0.0132,-0.0011,0.0033,0
Nelson,2017,National Party,0.4443,0.4704,-0.0027,0.32,0.1243
Nelson,2017,New Zealand First Party,0.0767,0.0866,0.0207,0.0767,0
Nelson,2017,United Future,0.0025,0.0022,-0.0038,0.0025,0
New Lynn,2017,ACT,0.0162,0.0069,-0.0038,0.0162,0
New Lynn,2017,Conservative Party,0.0368,0.0397,0.0132,0.0368,0
New Lynn,2017,Green Party,0.1005,0.107,-0.0036,0.1005,0
New Lynn,2017,Labour Party,0.3609,0.2513,-0.0235,0.32,0.0409
New Lynn,2017,Mana,0.011,0.0142,0.0034,0.011,0
New Lynn,2017,Maori Party,0.0036,0.0132,-0.0011,0.0036,0
New Lynn,2017,National Party,0.3923,0.4704,-0.0027,0.32,0.0723
New Lynn,2017,New Zealand First Party,0.0718,0.0866,0.0207,0.0718,0
New Lynn,2017,United Future,0.0017,0.0022,-0.0038,0.0017,0
New Plymouth,2017,ACT,0.0046,0.0069,-0.0038,0.0046,0
New Plymouth,2017,Conservative Party,0.032,0.0397,0.0132,0.032,0
New Plymouth,2017,Green Party,0.08,0.107,-0.0036,0.08,0
New Plymouth,2017,Labour Party,0.2116,0.2513,-0.0235,0.2116,0
New Plymouth,2017,Mana,0.007,0.0142,0.0034,0.007,0
New Plymouth,2017,Maori Party,0.0053,0.0132,-0.0011,0.0053,0
