Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Candidate Previous Vote,Previous Candidate Vote electorate,Same Candidate,Same Electorate,Same Party,Incumbent,No Candidate Run Last Election,PollAve,TWts
"MAHUTA, Nanaia",Labour Party,2005,Hauraki-Waikato,0.544617408,0.5568,0.489382239,0.489382239,0.489382239,TRUE,TRUE,TRUE,TRUE,FALSE,0.493839981,13.92728274
"MAHUTA, Nanaia",Labour Party,2008,Hauraki-Waikato,0.524965252,0.5255,0.544617408,0.544617408,NA,NA,FALSE,TRUE,TRUE,TRUE,0.510140274,29.58315379
"MAHUTA, Nanaia",Labour Party,2011,Hauraki-Waikato,0.583717358,0.4611,0.524965252,0.524965252,0.524965252,TRUE,TRUE,TRUE,TRUE,FALSE,0.588,3.00927497
"MAHUTA, Nanaia",Labour Party,2014,Hauraki-Waikato,0.615598886,0.465,0.583717358,0.583717358,0.583717358,TRUE,TRUE,TRUE,TRUE,FALSE,0.681989924,5.360791858
"GREENSILL, Angeline Ngahina ",Mana,2011,Hauraki-Waikato,0.228439763,0.1122,0.475034748,0.475034748,NA,NA,TRUE,FALSE,FALSE,TRUE,0.176,3.00927497
"GREENSILL, Angeline Ngahina ",Mana,2014,Hauraki-Waikato,0.157381616,0.0808,0.228439763,0.228439763,NA,NA,TRUE,FALSE,FALSE,TRUE,0.124433249,5.360791858
"GREENSILL, Angeline Ngahina ",Maori Party,2005,Hauraki-Waikato,0.437623328,0.277,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.375844568,13.92728274
"GREENSILL, Angeline Ngahina ",Maori Party,2008,Hauraki-Waikato,0.475034748,0.2768,0.437623328,0.437623328,NA,NA,FALSE,TRUE,FALSE,TRUE,0.440507184,29.58315379
"MATAKI, Tau Bruce ",Maori Party,2011,Hauraki-Waikato,0.173579109,0.1306,0.475034748,NA,0.475034748,FALSE,NA,NA,FALSE,FALSE,0.129,3.00927497
"CULLEN, Susan ",Maori Party,2014,Hauraki-Waikato,0.227019499,0.1197,0.173579109,NA,0.173579109,FALSE,NA,NA,FALSE,FALSE,0.167506297,5.360791858
"TIPENE, Bevan ",Green Party,2008,Ikaroa-Rawhiti,0.055532403,0.0316,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.024566613,35.05350968
"KANI, Henare ",Green Party,2014,Ikaroa-Rawhiti,0.100283524,0.1043,0.055532403,NA,0.055532403,FALSE,NA,NA,FALSE,FALSE,0.069512195,5.360791858
"HOROMIA, Parekura ",Labour Party,2005,Ikaroa-Rawhiti,0.556602752,0.5828,0.780583066,0.780583066,0.780583066,TRUE,TRUE,TRUE,TRUE,FALSE,0.516865396,13.92728274
"HOROMIA, Parekura ",Labour Party,2008,Ikaroa-Rawhiti,0.514898937,0.572,0.556602752,0.556602752,0.556602752,TRUE,TRUE,TRUE,TRUE,FALSE,0.483600177,35.05350968
"HOROMIA, Parekura ",Labour Party,2011,Ikaroa-Rawhiti,0.607131315,0.4958,0.514898937,0.514898937,0.514898937,TRUE,TRUE,TRUE,TRUE,FALSE,0.405,3.00927497
"WHAITIRI, Meka ",Labour Party,2014,Ikaroa-Rawhiti,0.462669327,0.4809,0.607131315,NA,0.607131315,FALSE,NA,NA,FALSE,FALSE,0.428658537,5.360791858
"McCLUTCHIE, Tawhai ",Mana,2011,Ikaroa-Rawhiti,0.142841754,0.096,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.089,3.00927497
"NIKORA, Te HaÅmua ",Mana,2014,Ikaroa-Rawhiti,0.240995485,0.0987,0.142841754,NA,NA,NA,NA,NA,FALSE,TRUE,0.243292683,5.360791858
"POANANGA, Atareta ",Maori Party,2005,Ikaroa-Rawhiti,0.443397248,0.2806,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.359134618,13.92728274
"FOX, Derek Tinia ",Maori Party,2008,Ikaroa-Rawhiti,0.42956866,0.2689,0.443397248,NA,0.443397248,FALSE,NA,NA,FALSE,FALSE,0.449790143,35.05350968
"RAIHANIA, Na ",Maori Party,2011,Ikaroa-Rawhiti,0.230959819,0.1498,0.42956866,NA,0.42956866,FALSE,NA,NA,FALSE,FALSE,0.316,3.00927497
"FOX, Marama ",Maori Party,2014,Ikaroa-Rawhiti,0.182505513,0.1237,0.230959819,NA,0.230959819,FALSE,NA,NA,FALSE,FALSE,0.208536585,5.360791858
"CURTIS, Mikaere ",Green Party,2008,Tamaki Makaurau,0.047754286,0.0404,0.12823635,NA,0.12823635,FALSE,NA,NA,FALSE,FALSE,0.037330739,17.92330671
"CURTIS, Mikaere ",Green Party,2011,Tamaki Makaurau,0.084634435,0.0971,0.047754286,0.047754286,0.047754286,TRUE,TRUE,TRUE,FALSE,FALSE,0.03293204,9.237076118
"DAVIDSON, Marama ",Green Party,2014,Tamaki Makaurau,0.159322034,0.1181,0.084634435,NA,0.084634435,FALSE,NA,NA,FALSE,FALSE,0.0875,7.937762435
"TAMIHERE, John",Labour Party,2005,Tamaki Makaurau,0.42751656,0.5514,0.733465778,0.733465778,0.733465778,TRUE,TRUE,TRUE,TRUE,FALSE,0.389952998,13.92728274
"WALL, Louisa Hareruia ",Labour Party,2008,Tamaki Makaurau,0.273482697,0.4973,0.42751656,0.260599793,0.42751656,FALSE,FALSE,TRUE,FALSE,FALSE,0.189157716,17.92330671
"JONES, Shane ",Labour Party,2011,Tamaki Makaurau,0.350920642,0.415,0.273482697,0.29241619,0.273482697,FALSE,FALSE,TRUE,FALSE,FALSE,0.254107883,9.237076118
"HENARE, Peeni ",Labour Party,2014,Tamaki Makaurau,0.382733051,0.4084,0.350920642,NA,0.350920642,FALSE,NA,NA,FALSE,FALSE,0.3375,7.937762435
"PENE, Kereama ",Mana,2011,Tamaki Makaurau,0.160439324,0.1368,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.145538297,9.237076118
"PENE, Kereama ",Mana,2014,Tamaki Makaurau,0.133368644,0.1082,0.160439324,0.160439324,NA,NA,TRUE,FALSE,FALSE,TRUE,0.175,7.937762435
"SHARPLES, Pita ",Maori Party,2005,Tamaki Makaurau,0.542729938,0.2748,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.47391326,13.92728274
"SHARPLES, Pita ",Maori Party,2008,Tamaki Makaurau,0.659829599,0.2861,0.542729938,0.542729938,0.542729938,TRUE,TRUE,TRUE,TRUE,FALSE,0.698628457,17.92330671
"SHARPLES, Pita ",Maori Party,2011,Tamaki Makaurau,0.404005599,0.1445,0.659829599,0.659829599,0.659829599,TRUE,TRUE,TRUE,TRUE,FALSE,0.541231918,9.237076118
"McLEAN, Rangi ",Maori Party,2014,Tamaki Makaurau,0.308474576,0.1284,0.404005599,NA,0.404005599,FALSE,NA,NA,FALSE,FALSE,0.35,7.937762435
"McDONALD, Jack Tautokai ",Green Party,2011,Te Tai Hauauru,0.114978115,0.1117,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0,3.00927497
"McDONALD, Jack Tautokai ",Green Party,2014,Te Tai Hauauru,0.153496245,0.1193,0.114978115,0.114978115,0.114978115,TRUE,TRUE,TRUE,FALSE,FALSE,0.127439024,5.633845571
"MASON, Errol ",Labour Party,2005,Te Tai Hauauru,0.347187192,0.531,0.713562103,NA,0.713562103,FALSE,NA,NA,FALSE,FALSE,0.244241101,17.96328744
"MASON, Errol ",Labour Party,2008,Te Tai Hauauru,0.294229751,0.5066,0.347187192,0.347187192,0.347187192,TRUE,TRUE,TRUE,FALSE,FALSE,0.193565251,19.79600945
"PEKE-MASON, Soraya Waiata ",Labour Party,2011,Te Tai Hauauru,0.298494715,0.4203,0.294229751,NA,0.294229751,FALSE,NA,NA,FALSE,FALSE,0.403,3.00927497
"RURAWHE, Adrian ",Labour Party,2014,Te Tai Hauauru,0.413413731,0.4223,0.298494715,NA,0.298494715,FALSE,NA,NA,FALSE,FALSE,0.33597561,5.633845571
"TIMUTIMU, Frederick ",Mana,2011,Te Tai Hauauru,0.086687307,0.0824,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.014,3.00927497
"WINIATA, Jordan ",Mana,2014,Te Tai Hauauru,0.099121972,0.0682,0.086687307,NA,NA,NA,NA,NA,FALSE,TRUE,0.115853659,5.633845571
"TURIA, Tariana",Maori Party,2005,Te Tai Hauauru,0.652812808,0.3168,0.713562103,0.713562103,NA,TRUE,TRUE,FALSE,TRUE,TRUE,0.638911568,17.96328744
"TURIA, Tariana",Maori Party,2008,Te Tai Hauauru,0.705770249,0.3076,0.652812808,0.652812808,0.652812808,TRUE,TRUE,TRUE,TRUE,FALSE,0.738495326,19.79600945
"TURIA, Tariana",Maori Party,2011,Te Tai Hauauru,0.482972136,0.2105,0.705770249,0.705770249,0.705770249,TRUE,TRUE,TRUE,TRUE,FALSE,0.486,3.00927497
"McKENZIE, Chris ",Maori Party,2014,Te Tai Hauauru,0.333968052,0.1764,0.482972136,NA,0.482972136,FALSE,NA,NA,FALSE,FALSE,0.370731707,5.633845571
"SAMUELS, Dover",Labour Party,2005,Te Tai Tokerau,0.344474687,0.4933,0.504035874,0.504035874,0.504035874,TRUE,TRUE,TRUE,FALSE,FALSE,0.278614632,17.96328744
"DAVIS, Kelvin ",Labour Party,2008,Te Tai Tokerau,0.294390553,0.4563,0.344474687,NA,0.344474687,FALSE,NA,NA,FALSE,FALSE,0.211670611,20.46694884
"DAVIS, Kelvin ",Labour Party,2011,Te Tai Tokerau,0.371002593,0.3465,0.294390553,0.294390553,0.294390553,TRUE,TRUE,TRUE,FALSE,FALSE,0.349610709,11.12792063
"DAVIS, Kelvin ",Labour Party,2014,Te Tai Tokerau,0.447304568,0.3547,0.371002593,0.371002593,0.371002593,TRUE,TRUE,TRUE,FALSE,FALSE,0.40594502,13.50364347
"HARAWIRA, Hone ",Mana,2011,Te Tai Tokerau,0.43312446,0.2449,0.619569802,0.619569802,NA,NA,TRUE,FALSE,TRUE,TRUE,0.381244737,11.12792063
"HARAWIRA, Hone ",Mana,2014,Te Tai Tokerau,0.413018251,0.1875,0.43312446,0.43312446,0.43312446,NA,TRUE,FALSE,TRUE,FALSE,0.406928454,13.50364347
"HARAWIRA, Hone ",Maori Party,2005,Te Tai Tokerau,0.54044638,0.31,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.490450074,17.96328744
"HARAWIRA, Hone ",Maori Party,2008,Te Tai Tokerau,0.619569802,0.3077,0.54044638,0.54044638,0.54044638,TRUE,TRUE,TRUE,TRUE,FALSE,0.679431051,20.46694884
"SHORTLAND, Waihoroi ",Maori Party,2011,Te Tai Tokerau,0.166054451,0.1116,0.619569802,NA,0.619569802,FALSE,NA,NA,FALSE,FALSE,0.193358225,11.12792063
"PAENGA, Te Hira ",Maori Party,2014,Te Tai Tokerau,0.118788902,0.1015,0.166054451,NA,0.166054451,FALSE,NA,NA,FALSE,FALSE,0.111505894,13.50364347
"TUREI, Metiria",Green Party,2005,Te Tai Tonga,0.1238785,0.0647,NA,0.12823635,NA,NA,FALSE,TRUE,FALSE,TRUE,0.091610431,46.07562841
"LANGSBURY, Dora Roimata ",Green Party,2008,Te Tai Tonga,0.10897774,0.0721,0.1238785,NA,0.1238785,FALSE,NA,NA,FALSE,FALSE,0.043267005,26.75139972
"LANGSBURY, Dora Roimata ",Green Party,2011,Te Tai Tonga,0.152420737,0.1582,0.10897774,0.10897774,0.10897774,TRUE,TRUE,TRUE,FALSE,FALSE,0.093266766,13.85478686
"LANGSBURY, Dora Roimata ",Green Party,2014,Te Tai Tonga,0.161293721,0.1651,0.152420737,0.152420737,0.152420737,TRUE,TRUE,TRUE,FALSE,FALSE,0.103012048,5.633845571
"OKEROA, Mahara",Labour Party,2005,Te Tai Tonga,0.486541995,0.5789,0.63171521,0.63171521,0.63171521,TRUE,TRUE,TRUE,TRUE,FALSE,0.492396603,46.07562841
"OKEROA, Mahara",Labour Party,2008,Te Tai Tonga,0.41797658,0.4958,0.486541995,0.486541995,0.486541995,TRUE,TRUE,TRUE,TRUE,FALSE,0.420276475,26.75139972
"TIRIKATENE, Rino ",Labour Party,2011,Te Tai Tonga,0.406169666,0.3852,0.41797658,NA,0.41797658,FALSE,NA,NA,FALSE,FALSE,0.363900871,13.85478686
"TIRIKATENE, Rino ",Labour Party,2014,Te Tai Tonga,0.42920354,0.3692,0.406169666,0.406169666,0.406169666,TRUE,TRUE,TRUE,TRUE,FALSE,0.54939759,5.633845571
"DEARLOVE, Clinton ",Mana,2011,Te Tai Tonga,0.081405313,0.0592,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.077836738,13.85478686
"BEYER, Georgina",Mana,2014,Te Tai Tonga,0.101453856,0.0496,0.081405313,NA,NA,NA,NA,NA,FALSE,TRUE,0.103012048,5.633845571
"OHIA, Monte ",Maori Party,2005,Te Tai Tonga,0.351529564,0.1755,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.302964933,46.07562841
"KATENE, Rahui ",Maori Party,2008,Te Tai Tonga,0.47304568,0.2226,0.351529564,NA,0.351529564,FALSE,NA,NA,FALSE,FALSE,0.435043261,26.75139972
"KATENE, Rahui ",Maori Party,2011,Te Tai Tonga,0.317909169,0.1349,0.47304568,0.47304568,0.47304568,TRUE,TRUE,TRUE,TRUE,FALSE,0.435021873,13.85478686
"BUTTON, Ngaire ",Maori Party,2014,Te Tai Tonga,0.248525074,0.1125,0.317909169,NA,0.317909169,FALSE,NA,NA,FALSE,FALSE,0.194578313,5.633845571
"RIRINUI, Mita",Labour Party,2005,Waiariki,0.419862783,0.5311,0.619277587,0.619277587,0.619277587,TRUE,TRUE,TRUE,TRUE,FALSE,0.299271554,7.276404845
"RIRINUI, Mita",Labour Party,2008,Waiariki,0.31836518,0.4557,0.419862783,0.419862783,0.419862783,TRUE,TRUE,TRUE,FALSE,FALSE,0.236840177,19.15348064
"TE KANI, Louis ",Labour Party,2011,Waiariki,0.245039575,0.3505,0.31836518,NA,0.31836518,FALSE,NA,NA,FALSE,FALSE,0.182036604,10.46334986
"WAITITI, Rawiri ",Labour Party,2014,Waiariki,0.273452256,0.3877,0.245039575,NA,0.245039575,FALSE,NA,NA,FALSE,FALSE,0.179444444,7.636266361
"SYKES, Annette ",Mana,2011,Waiariki,0.3245148,0.1662,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.210509151,10.46334986
"SYKES, Annette ",Mana,2014,Waiariki,0.256873033,0.1139,0.3245148,0.3245148,NA,NA,TRUE,FALSE,FALSE,TRUE,0.221666667,7.636266361
"FLAVELL, Te Ururoa James ",Maori Party,2005,Waiariki,0.580137217,0.3079,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.495478533,7.276404845
"FLAVELL, Te Ururoa James ",Maori Party,2008,Waiariki,0.68163482,0.3526,0.580137217,0.580137217,0.580137217,TRUE,TRUE,TRUE,TRUE,FALSE,0.687742915,19.15348064
"FLAVELL, Te Ururoa James ",Maori Party,2011,Waiariki,0.430445625,0.2121,0.68163482,0.68163482,0.68163482,TRUE,TRUE,TRUE,TRUE,FALSE,0.569490849,10.46334986
"FLAVELL, Te Ururoa James ",Maori Party,2014,Waiariki,0.455613851,0.2201,0.430445625,0.430445625,0.430445625,TRUE,TRUE,TRUE,TRUE,FALSE,0.527777778,7.636266361
